id	character	keyword	frame	reviewed
rtk494	脂	fat	494	yes
rtk495	詣	visit a shrine	495	yes
rtk496	壱	i (one)	496	no
rtk497	毎	every	497	yes
rtk498	敏	cleverness	498	yes
rtk499	梅	plum	499	yes
rtk500	海	sea	500	yes
rtk501	乞	beg	501	no
rtk502	乾	drought	502	yes
rtk503	腹	abdomen	503	yes
rtk504	複	duplicate	504	yes
rtk505	欠	lack	505	no
rtk506	吹	blow	506	no
rtk507	炊	cook	507	no
rtk508	歌	song	508	no
rtk509	軟	soft	509	no
rtk510	次	next	510	no
rtk511	茨	briar	511	yes
rtk512	資	assets	512	yes
rtk513	姿	figure	513	no
rtk514	諮	consult with	514	no
rtk515	賠	compensation	515	yes
rtk516	培	cultivate	516	no
rtk517	剖	divide	517	yes
rtk518	音	sound	518	no
rtk519	暗	darkness	519	no
rtk520	韻	rhyme	520	yes
rtk521	識	discriminating	521	no
rtk522	鏡	mirror	522	no
rtk523	境	boundary	523	no
rtk524	亡	deceased	524	no
rtk525	盲	blind	525	no
rtk526	妄	delusion	526	no
rtk527	荒	laid waste	527	no
rtk528	望	ambition	528	no
rtk529	方	direction	529	no
rtk530	妨	disturb	530	no
rtk531	坊	boy	531	no
rtk532	芳	perfumed	532	no
rtk533	肪	obese	533	no
rtk534	訪	call on	534	no
rtk535	放	set free	535	yes
rtk536	激	violent	536	yes
rtk537	脱	undress	537	yes
rtk538	説	explanation	538	yes
rtk539	鋭	pointed	539	yes
